Supplement,Overview,SideEffects,Precautions,Dosing
Polarity Therapy,"polarity therapy is a type of ""energy medicine"" that uses several techniques to alter energy flow and energy balance in the body.  polarity therapy is used for fatigue  stress  anxiety  depression  osteoarthritis  pain  cancer-related fatigue  fibromyalgia  chronic fatigue syndrome (cfs)  and many other conditions  but there is no good scientific evidence to support these uses.",polarity touch therapy is possibly safe for most people when used appropriately.,polarity touch therapy is possibly safe for most people when used appropriately. pregnancy and breast-feeding: there isn't enough reliable information to know if polarity therapy is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,"polarity therapists use a variety of techniques to manipulate energy flow and balance  the most common of which is touch or physical manipulation. polarity therapy uses bipolar contact  which involves applying both hands to the body at once  with each hand on an ""opposing location"". other techniques might include movements and exercise called polarity yoga  nutrition or dietary changes  and counseling. some of these methods can include practices similar to reflexology  chiropractic  cranial sacral therapy  and others."
Policosanol,"policosanol is a natural mixture of long-chain alcohols that comes from sugar cane wax or beeswax. it can also be found in wheat or rice.  policosanol seems to decrease cholesterol production in the liver and to increase the breakdown of low-density lipoprotein (ldl or ""bad"") cholesterol. it also decreases the stickiness of cells in the blood known as platelets.  people use policosanol for leg pain during exercise due to poor blood flow. it is also used for high cholesterol  heart disease  high blood pressure  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse policosanol with octacosanol. these are not the same.",when taken by mouth: policosanol is likely safe when used in doses of 5-80 mg daily for up to 3 years. it's usually well-tolerated. side effects might include headache  difficulty sleeping  dizziness  upset stomach  skin redness  or weight loss.,when taken by mouth: policosanol is likely safe when used in doses of 5-80 mg daily for up to 3 years. it's usually well-tolerated. side effects might include headache  difficulty sleeping  dizziness  upset stomach  skin redness  or weight loss.  pregnancy and breast-feeding: there isn't enough reliable information to know if policosanol is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  bleeding disorders: policosanol might slow blood clotting and increase the chance of bleeding in people with bleeding disorders.  surgery: policosanol might slow blood clotting and reduce blood sugar levels. this might increase the risk of bleeding and interfere with blood sugar control during and after surgery. stop using policosanol at least 2 weeks before scheduled surgery.,policosanol has most often been used by adults in doses of 5-20 mg by mouth daily for up to 3 years. higher doses of 40-80 mg daily have been used for up to 24 weeks. speak with a healthcare provider to find out what dose might be best for a specific condition.
Polydextrose,polydextrose is a complex carbohydrate made from glucose. it's made in a lab and is not digested by the body. polydextrose is often used as a prebiotic.  polydextrose does not get digested by the human body. instead it's digested by good bacteria found in the colon. this helps the good bacteria to grow  which is why it's used as a prebiotic. prebiotics act as food for probiotics (good bacteria).  people use polydextrose for constipation  prediabetes  diabetes  irritable bowel syndrome (ibs)  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse prebiotics with probiotics. these are not the same.,when taken by mouth: polydextrose is likely safe when consumed in foods in amounts less than 15 grams daily. polydextrose is possibly safe when used as medicine in doses up to 50 grams daily for up to 12 weeks. but it is possibly unsafe to use in higher amounts. taking more than 90 grams of polydextrose daily  or more than 50 grams at one time  might cause severe diarrhea in some people.,when taken by mouth: polydextrose is likely safe when consumed in foods in amounts less than 15 grams daily. polydextrose is possibly safe when used as medicine in doses up to 50 grams daily for up to 12 weeks. but it is possibly unsafe to use in higher amounts. taking more than 90 grams of polydextrose daily  or more than 50 grams at one time  might cause severe diarrhea in some people.  pregnancy and breast-feeding: there isn't enough reliable information to know if polydextrose is safe to use as a medicine when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  children: polydextrose is possibly safe for infants when added to formula at concentrations of 2-4 grams per liter of formula. it is also possibly safe for children 4-8 years old to take in doses of about 4 grams daily.,polydextrose has most often been used by adults in doses of 4-12 grams by mouth daily for up to 4 weeks. speak with a healthcare provider to find out what dose might be best for a specific condition.
Polypodium Leucotomos,polypodium leucotomos is a tropical fern from central and south america. it's been used in traditional medicines.  polypodium leucotomos contains chemicals that might have antioxidant effects. the antioxidants in polypodium leucotomos might prevent damage caused by excessive sun exposure.  people use polypodium leucotomos for sunburn  eczema  dark skin patches on the face  cancer  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: polypodium leucotomos extract is possibly safe when used in doses of 360-480 mg daily for up to 6 months. it seems to be well-tolerated.  when applied to the skin: polypodium leucotomos extract is possibly safe when used short-term.,when taken by mouth: polypodium leucotomos extract is possibly safe when used in doses of 360-480 mg daily for up to 6 months. it seems to be well-tolerated.  when applied to the skin: polypodium leucotomos extract is possibly safe when used short-term.  pregnancy and breast-feeding: there isn't enough reliable information to know if polypodium leucotomos is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  children: polypodium leucotomos extract is possibly safe when taken by mouth at varying doses by age for up to 6 months.,polypodium leucotomos has most often been used by adults in doses of 360-960 mg by mouth daily for 2-26 weeks. speak with a healthcare provider to find out what dose might be best for a specific condition.
Pomegranate,pomegranate is a tree. various parts of the tree and fruit are used to make medicine.  people use pomegranate for high blood pressure  athletic performance  heart disease  diabetes  and many other conditions  but there is no good scientific evidence to support most of these uses.  pomegranate has been used for thousands of years. it is in greek  hebrew  buddhist  islamic  and christian mythology and writings. it is described in records dating from around 1500 bce as a treatment for tapeworm and other parasites.  many cultures use pomegranate as a folk medicine. pomegranate is native to iran. it is primarily cultivated in mediterranean counties  parts of the united states  afghanistan  russia  india  china  and japan. you'll see pomegranate in some royal and medical coats of arms.,when taken by mouth: pomegranate juice is likely safe for most people when taken by mouth. most people do not experience side effects. some people can have allergic reactions to pomegranate fruit. pomegranate extract is possibly safe when taken by mouth or applied to the skin. some people have experienced sensitivity to pomegranate extract. symptoms of sensitivity include itching  swelling  runny nose  and difficulty breathing.  the root  stem  or peel of pomegranate is possibly unsafe when taken by mouth in large amounts. the root  stem  and peel contain poisons.  when applied to the skin: pomegranate extract is possibly safe when applied to the skin. some people have experienced sensitivity to pomegranate extract. symptoms of sensitivity include itching  swelling  runny nose  and difficulty breathing.,when taken by mouth: pomegranate juice is likely safe for most people when taken by mouth. most people do not experience side effects. some people can have allergic reactions to pomegranate fruit. pomegranate extract is possibly safe when taken by mouth or applied to the skin. some people have experienced sensitivity to pomegranate extract. symptoms of sensitivity include itching  swelling  runny nose  and difficulty breathing.  the root  stem  or peel of pomegranate is possibly unsafe when taken by mouth in large amounts. the root  stem  and peel contain poisons.  when applied to the skin: pomegranate extract is possibly safe when applied to the skin. some people have experienced sensitivity to pomegranate extract. symptoms of sensitivity include itching  swelling  runny nose  and difficulty breathing. pregnancy and breast-feeding: pomegranate juice is possibly safe for pregnant and breast-feeding women. but there is not enough reliable information about the safety of using other forms of pomegranate  such as pomegranate extract. if you use pomegranate during pregnancy or breast-feeding  stick with the juice.  low blood pressure: drinking pomegranate juice can slightly lower blood pressure. drinking pomegranate juice might increase the risk of blood pressure dropping too low in people who already have low blood pressure.  allergies to plants: people with plant allergies seem to be more likely to have an allergic reaction to pomegranate.  surgery: pomegranate might affect blood pressure. this might interfere with blood pressure control during and after surgery. stop taking pomegranate at least 2 weeks before a scheduled surgery.,the following doses have been studied in scientific research:  adults by mouth: for high blood pressure: 43-330 ml of pomegranate juice has been used daily for up to 18 months.
Poplar,poplar are trees that grow in europe  north america  and other temperate regions. the bark  leaf  and dried  unopened leaf buds are used to make medicine.  poplar is used for cough  hemorrhoids  wound healing  and other conditions  but there is no good scientific evidence to support any use.  coronavirus disease 2019 (covid-19): some experts warn that poplar may interfere with the body's response against covid-19. there is no strong data to support this warning. but there is also no good data to support using poplar for covid-19.,when taken by mouth: there isn't enough reliable information to know if poplar is safe or what the side effects might be.  when applied to the skin: poplar is likely safe when applied to the skin. it may cause allergic skin reactions in some people.,when taken by mouth: there isn't enough reliable information to know if poplar is safe or what the side effects might be.  when applied to the skin: poplar is likely safe when applied to the skin. it may cause allergic skin reactions in some people. pregnancy and breast-feeding: there isn't enough reliable information to know if poplar is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  allergies to aspirin or similar medications  a honeybee product called propolis  or peru balsam: don't use poplar if you are allergic to any of these.,the appropriate dose of poplar depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for poplar. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Poppy Seed,poppy seed is the seed from the poppy plant (papaver somniferum). it's used in cooking. the seed pod contains opium  a source of opiates such as morphine.  poppy seeds don't contain opiates naturally  but the seeds can become coated with opiates during harvesting or by insects. because of this  the amount of opiates on poppy seeds varies widely. ready-to-eat poppy seeds have been processed to remove opiates.  people use poppy seed to diagnose an abnormal connection between the bowel and the bladder (vesicoenteric fistula). it's also used for cough  insomnia  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: poppy seed is commonly used as a spice or flavoring in foods. foods containing up to about 50 grams of poppy seed can be eaten safely. poppy seed is possibly safe when used in larger amounts as medicine  short-term. but eating very large amounts of poppy seed is possibly unsafe as it might block the bowels. some people might also be allergic to poppy seed.  drinking poppy seed tea is possibly unsafe. poppy seed tea is made by soaking poppy seeds in water. when poppy seed is soaked in water  the morphine and other opiates on the outer surface of the poppy seed can seep into the water. drinking this water can cause side effects or death due to the opiate content.,when taken by mouth: poppy seed is commonly used as a spice or flavoring in foods. foods containing up to about 50 grams of poppy seed can be eaten safely. poppy seed is possibly safe when used in larger amounts as medicine  short-term. but eating very large amounts of poppy seed is possibly unsafe as it might block the bowels. some people might also be allergic to poppy seed.  drinking poppy seed tea is possibly unsafe. poppy seed tea is made by soaking poppy seeds in water. when poppy seed is soaked in water  the morphine and other opiates on the outer surface of the poppy seed can seep into the water. drinking this water can cause side effects or death due to the opiate content.  pregnancy and breast-feeding: poppy seed is commonly used as a spice or flavoring in foods. but there isn't enough reliable information to know if poppy seed is safe to use in larger amounts as a medicine when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  allergy to other plants: people who are allergic to hazelnut  rye grain  kiwi  sesame  or buckwheat might also be allergic to poppy seed.,poppy seed is commonly used as a spice or flavoring in foods. but as medicine  there isn't enough reliable information to know what an appropriate dose of poppy seed might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Poria Mushroom,poria mushroom (wolfiporia cocos) is a fungus. the spores  which store food for the fungus  are sometimes used to make medicine.  poria mushroom contains chemicals that might reduce swelling and change immune function.  poria mushroom has been used for memory  anxiety  fatigue  and many other conditions  but there is no good scientific evidence to support these uses. there is also no good evidence to support using poria mushroom for covid-19.,when taken by mouth: there isn't enough reliable information to know if poria mushroom is safe. it can sometimes cause allergic reactions.,when taken by mouth: there isn't enough reliable information to know if poria mushroom is safe. it can sometimes cause allergic reactions.  pregnancy and breast-feeding: there isn't enough reliable information to know if poria mushroom is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  surgery: poria mushroom might slow down the central nervous system (cns). when combined with anesthesia and other medications used during and after surgery  this might slow down the cns too much. stop using poria mushroom as a medicine at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of poria mushroom might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Potassium,potassium is a mineral that is important for many body functions. food sources include fruits  cereals  beans  milk  and vegetables.  potassium plays a role in the transmission of nerve signals  muscle contractions  fluid balance  and various chemical reactions.  potassium is most commonly used for treating and preventing low potassium levels  treating high blood pressure  and preventing stroke. it's also used for prediabetes and many other conditions  but there's no good scientific evidence to support these other uses.,when taken by mouth: potassium is likely safe for most people when taken by mouth in amounts of up to 100 meq (3900 mg) of total potassium daily. in some people  potassium can cause stomach upset  nausea  diarrhea  vomiting  or intestinal gas.,when taken by mouth: potassium is likely safe for most people when taken by mouth in amounts of up to 100 meq (3900 mg) of total potassium daily. in some people  potassium can cause stomach upset  nausea  diarrhea  vomiting  or intestinal gas. pregnancy and breast-feeding: potassium is likely safe to consume in amounts typically found in the diet when pregnant or breast-feeding.  children: potassium is likely safe in children when consumed in amounts typically found in the diet.  disorders of the digestive tract that might alter the speed food and supplements pass through the body (gi motility conditions): if you have one of these disorders  do not take potassium supplements. potassium could build up to dangerous levels in the body.  kidney disease: kidneys that don't work well have trouble keeping a balanced amount of potassium in the body. if you have a kidney condition  use potassium supplements only with the advice and ongoing care of a healthcare professional.,potassium is found in many foods  including fruits  cereals  beans  milk  and vegetables. it's recommended that adult females consume 2.6 grams daily  and adult males consume 3.4 grams daily to maintain adequate nutrition. when pregnant  2.9 grams should be consumed daily  and when breastfeeding  2.8 grams should be consumed daily. recommended amounts for children depend on age. speak with a healthcare provider to find out what dose might be best for a specific condition.
Potato,potato is a plant. the fleshy part of the root (potato) is commonly eaten as a vegetable. potato is also used to make medicine.  people use potatoes for diabetes  heart disease  high blood pressure  indigestion (dyspepsia)  and other conditions  but there is no good scientific evidence to support these uses.  in foods  potato is eaten  used as a source of starch  and fermented into alcohol.,when taken by mouth: it is likely safe to eat unblemished  ripe potatoes as food. it is possibly safe to take unblemished  ripe potatoes  potato juice  or potato extracts as medicine. eating fried potatoes might cause weight gain. drinking potato juice can cause heartburn  bloating  and diarrhea.  it is likely unsafe to eat damaged potatoes  green potatoes  and sprouts. these can contain poisonous chemicals that cannot be destroyed by cooking. these poisonous chemicals can cause sweating  headache  flushing  nausea  vomiting  diarrhea  stomach pain  thirst  restlessness  and even death.  when applied to the skin: there isn't enough reliable information to know if potato is safe or what the side effects might be.,when taken by mouth: it is likely safe to eat unblemished  ripe potatoes as food. it is possibly safe to take unblemished  ripe potatoes  potato juice  or potato extracts as medicine. eating fried potatoes might cause weight gain. drinking potato juice can cause heartburn  bloating  and diarrhea.  it is likely unsafe to eat damaged potatoes  green potatoes  and sprouts. these can contain poisonous chemicals that cannot be destroyed by cooking. these poisonous chemicals can cause sweating  headache  flushing  nausea  vomiting  diarrhea  stomach pain  thirst  restlessness  and even death.  when applied to the skin: there isn't enough reliable information to know if potato is safe or what the side effects might be. pregnancy and breast-feeding: it is likely safe to eat unblemished  ripe potatoes when pregnant or breast-feeding. but there isn't enough reliable information to know if the larger amounts used as medicine are safe. stay on the safe side and stick to food amounts.,the appropriate dose of potato depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for potato. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Potentilla,potentilla is an herb. the flower  leaf  and root are used to make medicine.  people use potentilla for conditions such as sore throat  menstrual cramps (dysmenorrhea)  premenstrual syndrome (pms)  and many others  but there is no good scientific evidence to support these uses.  as food  the roots can be eaten raw or cooked  and the stems and leaves can be eaten as a salad.  don't confuse potentilla (potentilla anserina) with agrimony (agrimonia eupatoria) or tormentil (potentilla erecta)  which are also referred to as potentilla.,when taken by mouth: potentilla is possibly safe when taken by mouth. it may cause stomach pain.  when applied to the skin: there isn't enough reliable information to know if potentilla is safe or what the side effects might be.,when taken by mouth: potentilla is possibly safe when taken by mouth. it may cause stomach pain.  when applied to the skin: there isn't enough reliable information to know if potentilla is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if potentilla is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of potentilla depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for potentilla. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Pregnenolone,pregnenolone is a chemical that comes from cholesterol. it's used to make steroid hormones in the body. it can also be made in a lab and used as medicine.  pregnenolone affects many different chemicals in the brain and may play a role in certain psychiatric conditions.  people use pregnenolone for alzheimer disease  autism  back pain  bipolar disorder  schizophrenia  depression  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse pregnenolone with progesterone or with wild yam  which is sometimes used as a source of supplemental pregnenolone. these are not the same.,when taken by mouth: pregnenolone is possibly safe when used for up to 12 weeks. it's usually well-tolerated. side effects might include acne  agitation  diarrhea  drowsiness  excitement  hair loss  skin rashes  sweating  and tremor. there isn't enough reliable information to know if pregnenolone is safe when used for longer than 12 weeks.,when taken by mouth: pregnenolone is possibly safe when used for up to 12 weeks. it's usually well-tolerated. side effects might include acne  agitation  diarrhea  drowsiness  excitement  hair loss  skin rashes  sweating  and tremor. there isn't enough reliable information to know if pregnenolone is safe when used for longer than 12 weeks.  pregnancy and breast-feeding: there isn't enough reliable information to know if pregnenolone is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  children: pregnenolone is possibly safe when taken by mouth in adolescents 11-17 years-old for up to 10 weeks. but there isn't enough reliable information to know if it is safe when used for longer than 10 weeks or in younger children.  hormone-sensitive conditions such as breast cancer  uterine cancer  ovarian cancer  endometriosis  or uterine fibroids: pregnenolone is converted by the body to estrogen. if you have any condition that might be made worse by exposure to estrogen  don't take supplemental pregnenolone.,pregnenolone has most often been used by adults in doses of 50-250 mg by mouth twice daily for up to 12 weeks. speak with a healthcare provider to find out what dose might be best for a specific condition.
Premorse,premorse is an herb. the parts that grow above the ground are used to make medicine.  premorse is used for fever  cough  and the common cold  but there is no good scientific research to support these uses.,there isn't enough reliable information to know if premorse is safe or what the possible side effects might be.,there isn't enough reliable information to know if premorse is safe or what the possible side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if premorse is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of premorse depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for premorse. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Prickly Pear Cactus,prickly pear cactus (opuntia ficus-indica) is a plant native to mexico. its fruit and stems are commonly eaten and used as medicine in mexican cultures.  prickly pear cactus might lower blood sugar and cholesterol levels by reducing how much the stomach absorbs.  people most commonly use prickly pear cactus for diabetes. it is also used for enlarged prostate  hangover  high cholesterol  and many other purposes  but there is no good scientific evidence to support these uses.,when taken by mouth: prickly pear cactus is likely safe when the fruit and cactus pads are eaten as food. the pads and fruit are possibly safe when taken as medicine for a short period of time. prickly pear cactus can cause minor side effects in some people  including diarrhea  nausea  bloating  and heartburn.,when taken by mouth: prickly pear cactus is likely safe when the fruit and cactus pads are eaten as food. the pads and fruit are possibly safe when taken as medicine for a short period of time. prickly pear cactus can cause minor side effects in some people  including diarrhea  nausea  bloating  and heartburn.  pregnancy and breast-feeding: there isn't enough reliable information to know if prickly pear cactus is safe to use when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  surgery: prickly pear cactus might affect blood sugar levels  making blood sugar control difficult during and after surgery. stop using prickly pear cactus at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of prickly pear cactus might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Procaine,procaine is a chemical. people use it for medicine. be careful not to confuse the procaine used by mouth with the prescription procaine given by injection only under the supervision of a healthcare professional.  procaine is most often used as an anti-aging agent for conditions such as dementia  age-related decline in memory and thinking skills  quality of life  and many others  but there is no good scientific evidence to support these uses.  as a prescription-only injection  procaine is used for local anesthesia.,when taken by mouth: it is not known whether procaine is safe when taken by mouth. it can cause some side effects including heartburn  migraines  and a serious condition called systemic lupus erythematosus (sle). sle causes a variety of symptoms including joint pain  rashes  lung problems  and many other symptoms.  when given as a shot: procaine is safe when the prescription-only product is given as a shot by a healthcare professional as a local anesthetic.,when taken by mouth: it is not known whether procaine is safe when taken by mouth. it can cause some side effects including heartburn  migraines  and a serious condition called systemic lupus erythematosus (sle). sle causes a variety of symptoms including joint pain  rashes  lung problems  and many other symptoms.  when given as a shot: procaine is safe when the prescription-only product is given as a shot by a healthcare professional as a local anesthetic. pregnancy and breast-feeding: it's likely unsafe to use procaine for self-medication if you are pregnant. if you are breast-feeding  it is also best to avoid using procaine. not enough is known about how it might affect the nursing infant.  myasthenia gravis  a progressive disease that weakens the muscles: if you have myasthenia gravis  you should not be given procaine intravenously (by iv).  pseudocholinesterase deficiency  an inherited disorder: people with this disorder are sensitive to certain anesthetic drugs. if you have this disorder  you should not be given procaine by injection.  systemic lupus erythematosus (sle): procaine might make this condition worse. don't use procaine if you have sle.,the following doses have been studied in scientific research:  by injection: for local anesthesia. the prescription-only product is given as a shot by a healthcare professional.
Progesterone,"progesterone is a hormone that occurs naturally in the body. it's involved in pregnancy and is produced mainly in the ovaries. it can also be made in a lab.  progesterone levels can affect menstrual periods and menopausal symptoms. all progesterone products are made in a lab. the term ""natural progesterone"" refers to progesterone made from a chemical called diosgenin  which comes from wild yam or soy. the human body is not able to make progesterone from diosgenin  so eating wild yam or soy will not boost progesterone levels.  people use progesterone supplements and other non-prescription products for infertility  menopausal symptoms  and many other conditions  but there is no good scientific evidence to support any use.  non-prescription progesterone products may contain more or less progesterone than indicated on the label. these products do not require fda approval. discuss the use of prescription progesterone products with a healthcare provider. also  don't confuse progesterone with pregnenolone or wild yam. these are not the same.",when taken by mouth: prescription progesterone products are likely safe when used appropriately under the care of a healthcare provider. there isn't enough reliable information to know if non-prescription progesterone products or supplements are safe. stay on the safe side and avoid use.  when applied into the vagina: prescription progesterone products are likely safe when used appropriately under the care of a healthcare provider. there isn't enough reliable information to know if non-prescription progesterone products are safe. stay on the safe side and avoid use.,pregnancy: prescription progesterone products are likely safe when applied into the vagina as part of infertility treatment or while pregnant to prevent preterm labor. but progesterone is likely unsafe when used during pregnancy for any other purpose. there isn't enough reliable information to know if non-prescription forms of progesterone are safe to use during pregnancy. stay on the safe side and avoid use.  breast-feeding: there isn't enough reliable information to know if progesterone is safe to use when breast-feeding. stay on the safe side and avoid use.  arterial disease: don't use non-prescription forms of progesterone if you have arterial disease.  breast cancer: don't use non-prescription forms of progesterone if you have breast cancer or a history of breast cancer.  depression: don't use non-prescription forms of progesterone if you have depression.  liver disease: progesterone might make liver disease worse. don't use non-prescription forms of progesterone if you have liver disease.  porphyria: progesterone might cause an attack of porphyria. don't use non-prescription forms of progesterone if you have porphyria.  vaginal bleeding: if you have undiagnosed vaginal bleeding  don't use non-prescription forms of progesterone.,there isn't enough reliable information to know what an appropriate dose of non-prescription progesterone products might be. non-prescription products may contain more or less progesterone than indicated on the label. these products do not require fda approval.  some progesterone products are available via prescription. discuss the use of these products with a healthcare provider.
Proline,proline is an amino acid  or a building block for protein. the body can make proline on its own  but it is also consumed in the diet. a typical diet contains about 5 grams of proline daily. the primary sources are protein-rich foods including meat  fish  and dairy. proline can also be taken as a supplement.  proline is used for skin healing  especially in people who have problems keeping enough proline in the body. it is also used for other conditions  but there is no good scientific evidence to support any of these uses.  in medicine  proline is used as a stabilizer to help some prescription products last longer.,when taken by mouth: proline is likely safe when taken by mouth in food amounts. there isn't enough reliable information to know if proline is safe when used in larger amounts as medicine or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if proline is safe or what the side effects might be.,when taken by mouth: proline is likely safe when taken by mouth in food amounts. there isn't enough reliable information to know if proline is safe when used in larger amounts as medicine or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if proline is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if proline is safe to use when pregnant or breast-feeding. stay on the safe side and stick to the amounts found in foods.  children: proline is likely safe when taken by mouth in food amounts.,the appropriate dose of proline depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for proline. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Propionyl-L-Carnitine,propionyl-l-carnitine is a chemical naturally made in the body. it’s related to two other compounds called l-carnitine and acetyl-l-carnitine.  propionyl-l-carnitine helps the body produce energy. it’s important for heart function  muscle movement  and many other body processes. it also seems to help increase circulation.  people use propionyl-l-carnitine for chest pain  heart disease  heart failure  athletic performance  chronic fatigue  and many other conditions  but there is no good scientific evidence to support many of these uses.  don't confuse propionyl-l-carnitine with acetyl-l-carnitine or l-carnitine. these are not the same.,when taken by mouth: propionyl-l-carnitine is likely safe when taken in doses up to 3 grams daily for up to 6 months. it can cause stomach upset  vomiting  diarrhea  and other side effects.,when taken by mouth: propionyl-l-carnitine is likely safe when taken in doses up to 3 grams daily for up to 6 months. it can cause stomach upset  vomiting  diarrhea  and other side effects. pregnancy and breast-feeding: there isn't enough reliable information to know if propionyl-l-carnitine is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  underactive thyroid (hypothyroidism): propionyl-l-carnitine might make hypothyroidism worse or thyroid hormone treatment less effective. if you have hypothyroidism  don't take propionyl-l-carnitine.  seizures: some people who have a history of seizures have reported an increase in seizures after taking l-carnitine. propionyl-l-carnitine is similar to l-carnitine and might have some of the same effects. don’t take it if you have seizures.,propionyl-l-carnitine has most often been used by adults in doses of 1.5-2 grams by mouth daily for up to 6 months. speak with a healthcare provider to find out what dose might be best for a specific condition.
Propolis,propolis is a resin-like material made by bees from the buds of poplar and cone-bearing trees. bees use it to build hives  and it may contain beehive byproducts.  propolis seems to help fight against bacteria  viruses  and fungi. it might also have anti-inflammatory effects and help skin heal. propolis is rarely available in its pure form. it's usually obtained from beehives.  people commonly use propolis for diabetes  cold sores  and swelling and sores inside the mouth. it's also used for burns  canker sores  genital herpes  and many other conditions  but there is no good scientific evidence to support these uses. there is also no good evidence to support using propolis for covid-19.,when taken by mouth: propolis is possibly safe when used appropriately. it can cause allergic reactions  especially in people who are allergic to other bee products. lozenges containing propolis can cause irritation and mouth ulcers.  when applied to the skin: propolis is possibly safe when used appropriately. it can cause allergic reactions  especially in people who are allergic to other bee products.,when taken by mouth: propolis is possibly safe when used appropriately. it can cause allergic reactions  especially in people who are allergic to other bee products. lozenges containing propolis can cause irritation and mouth ulcers.  when applied to the skin: propolis is possibly safe when used appropriately. it can cause allergic reactions  especially in people who are allergic to other bee products. pregnancy: there isn't enough reliable information to know if propolis is safe to use when pregnant. stay on the safe side and avoid use.  breast-feeding: propolis is possibly safe when taken by mouth while breastfeeding. doses of 300 mg daily for up to 10 months have been used safely. stay on the safe side and avoid higher doses when breast-feeding.  bleeding conditions: a certain chemical in propolis might slow blood clotting. taking propolis might increase the risk of bleeding in people with bleeding disorders.  allergies: some propolis products might be contaminated with bee byproducts. use propolis with caution if you are allergic to bee byproducts.  surgery: a certain chemical in propolis might slow blood clotting. taking propolis might increase the risk of bleeding during and after surgery. stop taking propolis 2 weeks before surgery.,propolis has most often been used by adults in doses of 400-500 mg by mouth daily for up to 13 months. it's also used in many types of products  including creams  ointments  gels  and mouth rinses. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
