Supplement,Effectiveness,Description
Phenylalanine,Possibly Ineffective for,Attention deficit-hyperactivity disorder (ADHD). Taking phenylalanine by mouth doesn't seem to help ADHD. Chronic pain. Taking D-phenylalanine by mouth does not seem to reduce pain.
Phlorizin,Insufficient Evidence for,Diabetes. Fever. Malaria. Other conditions.
Phosphate Salts,Effective for,Emptying the colon before a colonoscopy. Taking sodium phosphate products by mouth before a colonoscopy is effective for bowel cleansing. Some sodium phosphate products are approved by the US FDA for this use. But taking sodium phosphate can increase the risk of kidney damage in some people and should be used with caution. Low levels of phosphate in the blood (hypophosphatemia). Taking sodium or potassium phosphate by mouth or by IV is effective for preventing or treating low phosphate levels in the blood. IV products can only be given by a healthcare provider.
Phosphate Salts,Likely Effective for,Constipation. Sodium phosphate is an FDA-approved over-the-counter (OTC) ingredient for treating constipation. OTC products are taken by mouth or used as enemas. Indigestion (dyspepsia). Aluminum phosphate and calcium phosphate are FDA-approved ingredients in OTC antacids. High levels of calcium in the blood (hypercalcemia). Taking phosphate salts by mouth is likely effective for treating high levels of calcium in the blood. But calcium phosphate should not be used since it contains calcium and can increase calcium levels.
Phosphate Salts,Possibly Effective for,Kidney stones. Taking potassium phosphate by mouth can help prevent calcium kidney stones from forming in people with high urine levels of calcium.
Phosphatidylcholine,Possibly Effective for,A type of inflammatory bowel disease (ulcerative colitis). Taking phosphatidylcholine by mouth might improve symptoms in people with ulcerative colitis.
Phosphatidylserine,Possibly Effective for,"Decline in memory and thinking skills that occurs normally with age. Taking phosphatidylserine that is made from cow brain by mouth seems to improve attention, language skills, and memory in aging people with declining thinking skills. But most phosphatidylserine supplements are now made from soy or cabbage. It's not clear if these supplements have the same effects. Alzheimer disease. Taking phosphatidylserine that is made from cow brain by mouth can improve some of the symptoms of Alzheimer disease after 6-12 weeks of treatment. But it might become less effective over time. Most phosphatidylserine supplements are now made from soy or cabbage. It's not clear if these supplements have the same effects."
Phytase,Insufficient Evidence for,Low levels of healthy red blood cells (anemia) due to iron deficiency. Early research shows that taking phytase with a meal containing iron increases the absorption of iron from the meal. But it isn't clear if taking phytase can help to prevent or treat iron deficiency. Zinc deficiency. Early research shows that taking phytase with a meal containing zinc increases the absorption of zinc from the meal. But it isn't clear if taking phytase can help to prevent or treat zinc deficiency. Aging skin. Tics or twitching of the eyelids (blepharospasm). Child growth. Infant development.
Picamilon,Insufficient Evidence for,"A group of eye disorders that can lead to vision loss (glaucoma). Early research shows that picamilon might improve vision in people with open-angle glaucoma. Loss of bladder control in people with brain, spinal cord, or nerve injuries (neurogenic bladder). Early research shows that picamilon might improve bladder control in children with neurogenic bladder. Anxiety. Athletic performance. Memory and thinking skills (cognitive function). Mental alertness. Seizure disorder (epilepsy). Stress. Other conditions."
Picrorhiza,Possibly Effective for,"A skin disorder that causes white patches to develop on the skin (vitiligo). Taking picrorhiza by mouth for up to one year, in combination with a drug called methoxsalen that is taken by mouth and applied to the skin, seems to help treat vitiligo in adults and children."
Picrorhiza,Possibly Ineffective for,Asthma. Taking picrorhiza by mouth for up to 12 weeks doesn't seem to help asthma symptoms or improve lung function.
Picrorhiza,Insufficient Evidence for,"Swelling (inflammation) of the liver (hepatitis). Early research suggests that taking picrorhiza by mouth for 2 weeks might relieve symptoms such as anorexia, nausea, and feelings of general discomfort in people with acute viral hepatitis. A lung disease that makes it harder to breathe (chronic obstructive pulmonary disease or COPD). Rheumatoid arthritis (RA). Other conditions."
Pilates,,
Pimpinella,,
Pinellia Ternata,Insufficient Evidence for,Nausea. Morning sickness. Cough. Birth control. Flu (influenza). Insomnia. Swine flu. Swelling (inflammation). Other conditions.
Pink Root,Insufficient Evidence for,Removing intestinal worms. Other conditions.
Pipsissewa,Insufficient Evidence for,"Infections of the kidney, bladder, or urethra (urinary tract infections or UTIs). Bladder stones. Spasms. Fluid retention. Seizures. Anxiety. Cancer. Sores, when applied to the skin. Blisters, when applied to the skin. Other conditions."
Piracetam,Possibly Effective for,Breath-holding attacks. Taking piracetam by mouth reduces breath-holding attacks in young children. Surgery to improve blood flow to the heart (CABG surgery). Taking piracetam by mouth or by IV around the time of CABG surgery helps with memory and thinking skills after surgery. IV products can only be given by a healthcare provider. A learning disorder marked by difficulty reading (dyslexia). Taking piracetam by mouth improves some reading skills in children with dyslexia. Seizure disorder (epilepsy). Taking piracetam by mouth reduces some symptoms of epilepsy in some patients who are also taking antiseizure drugs. A movement disorder often caused by antipsychotic drugs (tardive dyskinesia). Taking piracetam by mouth can reduce some symptoms of tardive dyskinesia. Dizziness (vertigo). Taking piracetam by mouth or by IV improves some symptoms of vertigo. IV products can only be given by a healthcare provider.
Pitcher Plant,Insufficient Evidence for,"Diabetes. Digestive disorders. Constipation. Urinary tract diseases. Fluid retention. Preventing scar formation. Pain, when given by injection. Other conditions."
Plant Sterols,Likely Effective for,"Inherited tendency towards high cholesterol (familial hypercholesterolemia). When used along with a cholesterol-lowering diet, taking plant sterols by mouth reduces low-density lipoprotein (LDL or ""bad"") cholesterol levels in children and adults with high cholesterol levels due to familial hypercholesterolemia. High cholesterol. Taking plant sterols by mouth lowers low-density lipoprotein (LDL or ""bad"") cholesterol levels in people with high cholesterol who are also following a cholesterol-lowering diet. But it doesn't seem to reduce triglyceride levels."
Plant Sterols,Possibly Effective for,"Heart disease. Eating foods that contain at least 3.4 grams of plant sterols daily as part of a low-fat, low-cholesterol diet might help prevent heart disease."
Pleurisy Root,Insufficient Evidence for,Cough. Lung inflammation. Bronchitis. Influenza (flu). Disorders of the uterus. Pain. Spasms. Promoting sweating. Other conditions.
Plum,Possibly Effective for,"Constipation. Consuming dried plums, plum juice, or plum puree seems to improve constipation. It seems to work as well as psyllium."
Podophyllum,Likely Effective for,A sexually transmitted infection that can lead to genital warts or cancer (human papillomavirus or HPV). Applying podophyllum resin (podophyllin) to the skin is effective for removing genital warts.
Poinsettia,,
Poison Ivy,,
Pokeweed,Insufficient Evidence for,Joint pain (rheumatism). Arthritis. Tonsillitis. Hoarseness (laryngitis). Mumps. Swelling of the lymph glands. Scabies. Acne. Skin and other cancers. Painful menstruation. Skin infections. Bruises and swelling. Other conditions.
Polarity Therapy,Insufficient Evidence for,Tiredness in people with cancer. Early research shows that polarity therapy might reduce tiredness and improve quality of life in women who are receiving radiation therapy for breast cancer. But it doesn't seem to work better than massage therapy. Stress. Early research shows that polarity therapy can reduce levels of stress in people who take care of adults with dementia. Fatigue. Anxiety. Depression. Osteoarthritis. Pain. Fibromyalgia. Chronic fatigue syndrome (CFS). Other conditions.
Policosanol,Likely Effective for,Leg pain during exercise due to poor blood flow (intermittent claudication). Taking policosanol by mouth seems to improve the distance people with intermittent claudication can walk.
Polydextrose,,
Polypodium Leucotomos,,
Pomegranate,Possibly Effective for,High blood pressure. Some research shows that drinking pomegranate juice daily can lower systolic blood pressure (the top number) by about 5 mmHg. Lower doses might work the same as higher doses. Pomegranate juice doesn't seem to reduce diastolic pressure (the lower number).
Pomegranate,Possibly Ineffective for,A lung disease that makes it harder to breathe (chronic obstructive pulmonary disease or COPD). Drinking pomegranate juice does not seem to improve symptoms or breathing in people with this condition. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking pomegranate doesn't seem to lower cholesterol in people with or without high cholesterol.
Pomegranate,Insufficient Evidence for,"Hardening of the arteries (atherosclerosis). Early research shows that drinking pomegranate juice might help to keep the arteries in the neck (carotid arteries) clear of the build-up of fatty deposits. Athletic performance. Early research shows that taking pomegranate extract might make cycling feel easier. It might also increase how long cycling can be done. But doesn't improve cycling time in competitive athletes. Heart disease. Some early research shows that drinking pomegranate juice might improve blood flow to the heart. But drinking pomegranate juice doesn't seem to prevent narrowing of blood vessels in the heart (stenosis). There is also not enough information to know if drinking pomegranate juice helps prevent heart disease-related events such as heart attack. Tooth plaque. Early research shows that rinsing with pomegranate extract mouthwash for one minute once or twice daily reduces dental plaque. Diabetes. Early research shows that drinking fresh pomegranate juice 1.5 mL/kg improves blood sugar in some people with diabetes. Serious kidney disease (end-stage renal disease or ESRD). The effects of pomegranate in people with ESRD are unclear. Results from research are inconsistent. Some early research shows that drinking pomegranate juice during or after dialysis helps to reduce blood pressure and to improve ""good"" (HDL) cholesterol and triglyceride levels. But other early research shows that drinking pomegranate juice before dialysis sessions or taking pomegranate extract for only 4 weeks doesn't improve blood pressure or cholesterol in people on dialysis. Erectile dysfunction (ED). Early research shows that drinking pomegranate juice daily for 4 weeks does not improve erectile dysfunction in men. Muscle soreness caused by exercise. Early research in trained men shows that drinking pomegranate juice twice daily for 15 days reduces muscle soreness after exercising in the elbow but not the knee. But other research in untrained men shows that drinking pomegranate juice twice daily for 9 days doesn't reduce muscle soreness in the elbow. Symptoms of menopause. Early research shows that taking pomegranate seed oil for 12 weeks does not reduce hot flashes but might improve sleep in some women with symptoms of menopause. A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Early research shows that drinking pomegranate juice daily for one month improves blood vessel function in adolescents with metabolic syndrome. Muscle strength. Early research shows that taking pomegranate extract can improve muscle strength recovery after exercise. Obesity. Most research shows that taking pomegranate products doesn't help with weight loss. But many studies of these studies included people who were not overweight or obese. And some research does show benefit of certain pomegranate products. More research is needed to know if some products are better than others in people who are overweight or obese. Thrush. Applying a gel containing pomegranate extract to the gums improves symptoms in people with thrush. A serious gum infection (periodontitis). There is some evidence that painting the gums with pomegranate fruit peel extract in combination with gotu kola extract might improve gum disease. Prostate cancer. Early research shows that drinking pomegranate juice or taking pomegranate extract for up to 2 years might slow the progression of prostate cancer. Other early research shows that taking a combination of pomegranate powder and other ingredients for 6 months can slows the rising of prostate-specific antigen (PSA) levels in men with prostate cancer. PSA levels are linked with prostate cancer growth, with faster increases indicating more growth. Rheumatoid arthritis (RA). Early research shows that taking pomegranate extract twice daily for 12 weeks can improve symptoms of rheumatoid arthritis. Sunburn. Early research shows that taking pomegranate extract by mouth does not prevent sunburn. A sexually transmitted infection caused by Trichomonas vaginalis (trichomoniasis). Early research shows that taking pomegranate extract might clear up trichomoniasis infections in women. Diarrhea. Hemorrhoids. Intestinal worm infestations. A hormonal disorder that causes enlarged ovaries with cysts (polycystic ovary syndrome or PCOS). Sore throat. Other conditions."
Poplar,Insufficient Evidence for,Cough. Chest congestion. Acne. Bruises. Frostbite. Hemorrhoids. Sores. Sunburn. Wound healing. Other conditions.
Poppy Seed,Likely Effective for,Diagnosing an abnormal connection between the bowel and the bladder. Taking poppy seed by mouth seems to be effective for diagnosing an abnormal connection between the bowel and the bladder called a vesicoenteric fistula.
Poria Mushroom,,
Potassium,Effective for,Low levels of potassium in the blood (hypokalemia). Taking potassium by mouth or by IV prevents and treats low levels of potassium in the blood. IV products can only be given by a healthcare provider.
Potassium,Likely Effective for,"High blood pressure. Taking potassium can lower blood pressure. Potassium seems to work best for people with high blood pressure, low potassium levels, and high sodium intake. People with high blood pressure should aim to eat foods that provide 3500-5000 mg of potassium daily. This intake of potassium is expected to lower blood pressure by about 4-5 mmHg in people with high blood pressure. Kidney stones. Taking potassium citrate can help prevent kidney stones from reoccurring. However, this medication should be prescribed by a healthcare professional. It is unclear whether supplementation with potassium citrate is helpful."
Potassium,Possibly Effective for,Heart disease. Higher intake of potassium from food has been linked to a 13% reduced risk of heart disease when compared with lower intake of potassium from food. But it's not clear if taking potassium supplements by mouth has the same benefit. Stroke. Higher intake of potassium from food has been linked to up to a 20% reduced risk of stroke. But it's not clear if taking potassium supplements by mouth has the same benefit.
Potato,Possibly Ineffective for,"Cancer. Eating potatoes does not appear to prevent death due to cancer. Colon cancer, rectal cancer. Eating potatoes does not appear to prevent colon or rectal cancer. Heart attack. Eating potatoes does not appear to prevent heart attacks. Death from any cause. Eating potatoes does not appear to prevent death from any cause. Stroke. Eating potatoes does not appear to prevent stroke."
Potato,Insufficient Evidence for,"Heart disease. Early research shows that eating purple potatoes can reduce the stiffness of arteries, but doesn't seem to improve other risk factors for heart disease. Also, population studies have found that eating potatoes does not prevent heart disease. Indigestion (dyspepsia). Early research shows that drinking potato juice might help to improve feelings of indigestion in some people. High blood pressure. Early research shows that eating small purple potatoes might reduce blood pressure levels by a small amount. Boils. Burns. Infections. Obesity. Osteoarthritis. Other conditions."
Potentilla,Insufficient Evidence for,Diarrhea. Menstrual cramps (dysmenorrhea). Premenstrual syndrome (PMS). Sore throat. Other conditions.
Pregnenolone,,
Premorse,Insufficient Evidence for,Causing sweating. Common cold. Cough. Fever. Other conditions.
Prickly Pear Cactus,Possibly Effective for,Diabetes. Taking prickly pear cactus by mouth can help to lower blood sugar levels after eating in people with diabetes. It's unclear if long-term use can consistently lower blood sugar levels.
Procaine,Effective for,Pain reduction during surgery. Procaine injection is an FDA-approved prescription product used as a local anesthetic.
Procaine,Insufficient Evidence for,"Decline in memory and thinking skills that occurs normally with age. Early research shows that taking procaine by mouth or as a shot doesn't improve most measures of memory and thinking skills in older people. Also, it might cause side effects. Diseases, such as Alzheimer disease, that interfere with thinking (dementia). Early research shows that procaine doesn't improve thinking skills in people with dementia. Arthritis. ""Hardening of the arteries"" in the brain (cerebral atherosclerosis). Depression. Hair loss. High blood pressure. Sexual problems. Other conditions."
Progesterone,,
Proline,Insufficient Evidence for,Athletic performance. Teens who eat more proline in the diet don't seem to be any more physically fit than teens who eat less proline. Low bone mass (osteopenia). Eating more proline in the diet doesn't seem to protect against osteopenia. Weak and brittle bones (osteoporosis). Eating more proline in the diet doesn't seem to protect against osteoporosis. Fractures. Fatigue. Insomnia. Infections. Wrinkles. Wound healing. Skin ulcers. Defects in proline metabolism.
Propionyl-L-Carnitine,Possibly Effective for,Chest pain (angina). Taking propionyl-L-carnitine by mouth seems to help people with chest pain walk farther. It might also reduce how often some people feel chest pain. Heart disease. Taking propionyl-L-carnitine by IV helps the heart to pump better in people with heart disease. IV products can only be given by a healthcare provider. Heart failure and fluid build up in the body (congestive heart failure or CHF). Taking propionyl-L-carnitine by mouth seems to improve how the heart works in people with mild or moderate CHF. It also seems to help people with CHF walk farther. Leg pain during exercise due to poor blood flow (intermittent claudication). Taking propionyl-L-carnitine by mouth or by IV seems to help people with leg pain walk farther and also improve quality of life. IV products can only be given by a healthcare provider. A type of inflammatory bowel disease (ulcerative colitis). Taking propionyl-L-carnitine with other medications by mouth might help to reduce symptoms in people with ulcerative colitis.
Propolis,Possibly Effective for,Diabetes. Taking propolis by mouth seems to improve blood sugar control by a small amount in people with diabetes. But it doesn't seem to affect insulin levels or improve insulin resistance. Cold sores (herpes labialis). Applying an ointment or cream containing 0.5% to 3% propolis five times daily might help cold sores to heal faster and reduce pain. Swelling (inflammation) and sores inside the mouth (oral mucositis). Taking propolis by mouth or rinsing the mouth with a propolis mouth rinse helps heal sores caused by cancer drugs.
Proteolytic Enzymes (Proteases),,
Psilocybin,Possibly Effective for,"Depression. Taking pure psilocybin by mouth, usually as one 25 mg dose, combined with integrative psychotherapy from trained therapists, seems to improve depression in some people."
Pu-Erh Tea,,
Pulsatilla,Insufficient Evidence for,Conditions of the male or female reproductive system. Tension headache. Migraine. Hyperactive states. Insomnia. Boils. Skin diseases. Asthma and other lung diseases. Earache. Nerve problems. General restlessness. Digestive tract problems. Urinary tract problems. Other conditions.
Pumpkin,Possibly Effective for,Enlarged prostate (benign prostatic hyperplasia or BPH). Taking pumpkin seed or pumpkin see oil products by mouth might help relieve BPH symptoms.
Purple Loosestrife,Insufficient Evidence for,A mild form of gum disease (gingivitis). Diarrhea. Eczema (atopic dermatitis). Hemorrhoids. Infection. Menstrual cramping (dysmenorrhea). Swelling (inflammation). Varicose veins. Other conditions.
Purple Nut Sedge,Insufficient Evidence for,Acne. Cavities. Depression. Diabetes. Diarrhea. Fever. Indigestion. Irritable bowel syndrome (IBS). Malaria. Nausea and vomiting. Pain. Skin ulcers. Wound healing. Other conditions.
Pygeum,Likely Effective for,Enlarged prostate (benign prostatic hyperplasia or BPH). Taking pygeum by mouth reduces symptoms of BPH such as low urine flow and the inability to fully empty the bladder when urinating.
Pyrethrum,Effective for,Head lice and crab lice. Applying pyrethrins to the skin in concentrations of 0.17% to 0.33% for 12-24 hours is effective for treating head lice and crab lice. Pyrethrins are usually combined with piperonyl butoxide (2% to 4%) to increase effectiveness.
Pyridoxine (Vitamin B6),Effective for,A rare seizure disorder that requires vitamin B6. Giving infants vitamin B6 by IV controls seizures caused by a condition called pyridoxine-dependent epilepsy. IV products can only be given by a healthcare provider. A condition in which the body makes abnormal red blood cells that build up iron (sideroblastic anemia). Taking vitamin B6 by mouth is effective for treating an inherited type of anemia called sideroblastic anemia. Vitamin B6 deficiency. Taking vitamin B6 by mouth is effective for preventing and treating vitamin B6 deficiency.
Pyridoxine (Vitamin B6),Likely Effective for,"High levels of homocysteine in the blood (hyperhomocysteinemia). Taking vitamin B6 by mouth, usually with folic acid, is effective for treating high homocysteine levels in the blood."
Pyridoxine (Vitamin B6),Possibly Effective for,"High levels of a hormone called prolactin (hyperprolactinemia) caused by antipsychotic drugs. Taking vitamin B6 by mouth reduces levels of prolactin in males with this condition. Kidney stones. Taking vitamin B6 by mouth, alone or along with magnesium, can decrease the risk of kidney stones, especially in people with an inherited condition that causes kidney stones. Morning sickness. Taking vitamin B6 by mouth improves symptoms of mild to moderate nausea and vomiting during pregnancy. Vitamin B6 plus the drug doxylamine is recommended for those who don't get better when taking vitamin B6 alone. Premenstrual syndrome (PMS). Taking vitamin B6 (pyridoxine) by mouth seems to improve PMS symptoms including breast pain. The lowest effective dose should be used. Higher doses will increase the chance of side effects and aren't likely to increase benefits."
Pyridoxine (Vitamin B6),Possibly Ineffective for,"Decline in memory and thinking skills that occurs normally with age. Taking vitamin B6 by mouth doesn't improve mental function in elderly people. Alzheimer disease. Taking vitamin B6 supplements by mouth or eating large amounts of vitamin B6 in the diet doesn't seem to reduce the risk for Alzheimer disease. Carpal tunnel syndrome. Taking vitamin B6 by mouth doesn't seem to reduce symptoms of carpal tunnel syndrome. Cataracts. Taking vitamin B6 by mouth, together with folic acid and vitamin B12, doesn't prevent cataracts. It might even increase the risk of needing to have cataracts removed. An adverse skin reaction caused by cancer drug treatment (chemotherapy-induced acral erythema). Taking vitamin B6 by mouth doesn't seem to prevent this skin reaction in people treated with cancer drugs. Vitamin B6 might also reduce how well certain cancer drugs work. Non-cancerous growths in the large intestine and rectum (colorectal adenoma). Taking a combination of folic acid, vitamin B6, and vitamin B12 by mouth doesn't reduce the risk of developing colorectal polyps. Seizures in people with high blood pressure during pregnancy (eclampsia). Taking vitamin B6 by mouth or as a shot doesn't seem to reduce the risk of seizures during pregnancy. Vitamin B6 shots can only be given by a healthcare provider. Weak and brittle bones (osteoporosis). Taking a combination of folic acid, vitamin B6, and vitamin B12 by mouth doesn't prevent broken bones in people with osteoporosis. A pregnancy complication marked by high blood pressure and protein in the urine (pre-eclampsia). Taking vitamin B6 by mouth or as a shot doesn't seem to reduce the risk of pre-eclampsia. Vitamin B6 shots can only be given by a healthcare provider. Preterm birth. Taking vitamin B6 by mouth or as a shot doesn't seem to reduce the risk of preterm birth. Vitamin B6 shots can only be given by a healthcare provider."
Pyruvate,Possibly Effective for,Acne. Applying a pyruvic acid skin peel might improve acne in some people. Obesity. Taking pyruvate by mouth while dieting and exercising might improve weight loss by a small amount in people who are overweight and obese.
Quassia,Insufficient Evidence for,"Lice. Early research suggests that a single application of quassia tincture can kill head lice. But the lice might come back. Some research shows that two applications within one week might be more effective than a single application. A skin condition that causes redness on the face (rosacea). Applying a gel containing quassia to the skin might reduce redness and flushing in people with rosacea. But higher quality research is needed to confirm. Rough, scaly skin on the scalp and face (seborrheic dermatitis). Applying a gel containing quassia to the skin might help clear up seborrheic dermatitis in some people. But higher quality research is needed to confirm. Diabetes. Appetite loss. Indigestion. Constipation. Fever. Intestinal worms. Other conditions."
Quebracho Blanco,Insufficient Evidence for,Asthma. Common cold. Cough. Fever. High blood pressure. Increasing sexual desire in healthy people. Menstrual cramps. Other conditions.
Queen'S Delight,Insufficient Evidence for,"Digestive disorders. “Blood purification.” Liver disease. Gallbladder disease. Constipation. Causing vomiting. Laryngitis. Hemorrhoids, when applied directly. Skin diseases, when applied directly. Other conditions."
Quercetin,Possibly Ineffective for,Athletic performance. Taking quercetin by mouth before exercise doesn't decrease fatigue or improve exercise ability.
Quillaia,,
Quince,Possibly Effective for,"Persistent heartburn. In children and teens, taking quince fruit syrup twice daily seems to reduce symptoms of persistent heartburn by a small amount."
Quinoa,Insufficient Evidence for,"Obesity. Early research suggests that eating quinoa does not help to lower blood sugar, blood fats, or blood pressure in overweight men. Health problems after menopause. Early research suggests that eating quinoa does not help to lower blood sugar or blood fats in postmenopausal women. Celiac disease. High levels of a blood fat called triglyceride. Insect repellent. Pain. Urinary tract infection. Weight loss. Other conditions."
Rabdosia Rubescens,Insufficient Evidence for,"A mild form of gum disease (gingivitis). Early research shows that taking Rabdosia rubescens might reduce symptoms of gingivitis, such as red and bleeding gums. Cancer, including prostate cancer. Enlarged prostate (benign prostatic hyperplasia, BPH). Swelling (inflammation). Other conditions."
Radish,,
Raspberry Ketone,,
Rauvolfia Vomitoria,,
Rauwolscine,,
Red Clover,,
Red Maple,Insufficient Evidence for,Eye conditions. Use as a drying agent. Other conditions.
Red Raspberry,,
Red Sandalwood,,
Red Soapwort,,
Red Yeast Rice,Likely Effective for,"High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking red yeast rice supplements by mouth can lower total cholesterol, low-density lipoprotein (LDL or ""bad"") cholesterol, and triglycerides. This is likely due to a chemical called monacolin K. This chemical is also known as the statin drug lovastatin. Statins are approved by the US FDA to lower cholesterol."
Red Yeast Rice,Possibly Effective for,Abnormal levels of blood fats in people with HIV/AIDS. Taking red yeast rice by mouth seems to reduce cholesterol and triglyceride levels in people with HIV. Heart attack. Taking red yeast rice by mouth daily seems to reduce the risk of heart attacks and death in people with a history of heart attack.
Red Yeast Rice,Possibly Ineffective for,High blood pressure. Taking red yeast rice by mouth together with prescription blood pressure-lowering drugs doesn't seem to reduce blood pressure more than taking the drugs alone.
Red-Spur Valerian,,
Reed Herb,,
Rehmannia,Possibly Effective for,Long-term kidney disease (chronic kidney disease or CKD). Taking rehmannia by mouth along with the drug irbesartan might decrease the amount of protein in the urine in people with this condition.
Reishi Mushroom,Possibly Ineffective for,High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking reishi mushroom by mouth doesn't seem to lower cholesterol levels in people with diabetes or high cholesterol.
Resveratrol,Possibly Effective for,"Hay fever. Using a nasal spray containing resveratrol three times daily for 4 weeks seems to reduce allergy symptoms in adults with seasonal allergies. Using a nasal spray containing resveratrol and beta-glucans three times daily for 2 months also seems to reduce allergy symptoms in children with seasonal allergies. Obesity. Taking resveratrol by mouth seems to increase weight loss in overweight and obese adults. But it doesn't seem to improve blood pressure, glucose control, or levels of cholesterol and other fats."
Resveratrol,Possibly Ineffective for,"Heart disease. People who consume higher amounts of dietary resveratrol do not seem to have a lower risk of heart disease compared to people who consume lower amounts. Also, taking resveratrol by mouth does not seem to improve levels of cholesterol or blood fats called triglycerides in people at risk for heart disease. High cholesterol. Taking resveratrol by mouth does not seem to improve levels of cholesterol or blood fats called triglycerides. A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Taking resveratrol by mouth doesn't seem to lower blood pressure, blood sugar, or cholesterol in people with metabolic syndrome. Build up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or NAFLD). Taking resveratrol by mouth doesn't seem to improve liver function, liver scarring, or cholesterol levels in people with NAFLD."
Rhatany,Insufficient Evidence for,Intestinal inflammation (enteritis). Chest pain (angina). Leg ulcers. Mild mouth and throat irritation. Other conditions.
Rhodiola,,
Rhubarb,Possibly Effective for,"Symptoms of menopause. Taking a rhubarb root extract by mouth seems to improve symptoms of menopause, including hot flushes, mood, quality of life, and fatigue. Swelling (inflammation) of the pancreas (pancreatitis). Taking rhubarb by mouth or rectally might help reduce pain and other symptoms of pancreatitis. It might also reduce the length of a hospital stay for pancreatitis."
Riboflavin,Effective for,"Riboflavin deficiency (ariboflavinosis). Taking riboflavin by mouth can increase levels of riboflavin in the body, helping to treat and prevent riboflavin deficiency."
Riboflavin,Possibly Effective for,High levels of homocysteine in the blood (hyperhomocysteinemia). Taking riboflavin by mouth for 12 weeks decreases levels of homocysteine by up to 40% in some people with a specific gene type. Migraine. Taking high-dose riboflavin by mouth seems to modestly reduce the number and severity of migraine headaches in adults. It's unclear if it helps children.
Ribose,Possibly Ineffective for,"Athletic performance. Taking ribose by mouth, alone or with other supplements, doesn't seem to improve athletic performance in trained or untrained adults. A rare, inherited disorder that causes muscle pain and cramping (McArdle disease). Taking ribose by mouth doesn't appear to improve exercise ability in people with McArdle disease."
Rice Bran,Possibly Effective for,"Abnormal levels of cholesterol or blood fats (dyslipidemia). Taking rice bran or rice bran oil by mouth daily seems to somewhat reduce low-density lipoprotein (LDL or ""bad"") cholesterol. It's not clear if it affects other types of cholesterol."
Rice Bran,Possibly Ineffective for,"Colon cancer, rectal cancer. Eating dietary fiber, such as rice bran, doesn't seem to reduce the risk of colon or rectal cancer."
Rice Bran Arabinoxylan Compound,Insufficient Evidence for,"Chronic fatigue syndrome (CFS). Early research suggested that rice bran arabinoxylan compound might improve symptoms and immune function in people with CFS. But more recent evidence shows that rice bran arabinoxylan compound does not improve symptoms of CFS including fatigue. All of the studies to date have been small and/or low quality, so more high quality research is needed. Swelling (inflammation) of the liver caused by the hepatitis C virus (hepatitis C). Early research suggests that taking rice bran arabinoxylan compound helps to clear hepatitis C virus from the bloodstream in people with a certain type of hepatitis C. It seems to work as well as pegylated interferon plus ribavirin. HIV/AIDS. Early research shows that taking rice bran arabinoxylan does not improve most blood markers of HIV/AIDS. Liver cancer. Early research shows that taking rice bran arabinoxylan compound in combination with standard therapy might help people with liver cancer live longer compared to standard therapy alone. It might also help prevent liver cancer from returning after treatment. Quality of life. Early research shows that taking rice bran arabinoxylan 250 mg daily for 3 months may improve self-reported quality of life in older adults. Boosting immune function. Diabetes. Preventing and treating cancer. Other conditions."
Rice Protein,Possibly Effective for,"Food allergies. Most infant formulas are made with protein that comes from cow's milk. If an infant is allergic to cow's milk, a special form of cow's milk formula can be used instead. But this type of formula often tastes bitter. Most research shows that rice protein formulas can be a good protein replacement for these babies. When rice protein is used in formula, it is broken down into smaller pieces and some additional nutrients are added to make it a complete source of nutrition for infants."
Rice Protein,Insufficient Evidence for,Muscle soreness caused by exercise. Early research shows that taking rice protein in water immediately after exercise works as well as whey protein for reducing muscle soreness after exercise. Muscle strength. Early research shows that taking rice protein in water immediately after exercise works as well as whey protein for building muscle strength.
Rna And Dna,Insufficient Evidence for,Athletic performance. Early research shows that taking RNA and DNA compounds under the tongue can help athletes to exercise at a high intensity for longer. Taking RNA and DNA compounds by mouth along with things like protein compounds and B vitamins helps some athletes to recover faster after hard exercise. Burns. Early research suggests that taking RNA and DNA by mouth in the hospital doesn't help people to recover from burns any more than regular nutritional formulas. A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). Aging. Alzheimer's disease. Decreased sex drive. Depression. Eczema. Hives. Improving memory. Infection after surgery. Obesity. Psoriasis. Sagging skin. Shingles. Other conditions.
Rock Rose,Insufficient Evidence for,Panic. Stress. Extreme fright or fear. Anxiety. Promoting calmness and relaxation. Other conditions.
Roman Chamomile,,
Rooibos,,
Rose Geranium Oil,,
Rose Hip,Possibly Effective for,"Osteoarthritis. Taking rose hip by mouth, alone or with other natural medicines, can reduce pain and stiffness and improve function in people with osteoarthritis. Pain after surgery. Taking a single dose of rose hip extract by mouth right before a C-section helps to reduce pain and the need for pain medications after surgery."
Rosemary,Possibly Effective for,Memory. Taking rosemary by mouth might somewhat improve memory in young adults. It's not clear if rosemary aromatherapy helps.
